ID,Ours,PDDL
35,to open master_chef_can 1 \n,(:goal (and (opened master_chef_can 1)))) \n
36,to open master_chef_can 10 \n,(:goal (and (opened master_chef_can 10)))) \n
37,to open master_chef_can 32 \n,(:goal (and (opened master_chef_can 32)))) \n
38,to open master_chef_can 25 \n,(:goal (and (opened master_chef_can 25)))) \n
39,to open master_chef_can 29 \n,(:goal (and (opened master_chef_can 29)))) \n
40,to open mustard_bottle 19 \n,(:goal (and (opened mustard_bottle 19)))) \n
41,to open mustard_bottle 17 \n,(:goal (and (opened mustard_bottle 17)))) \n
42,to open mustard_bottle 3 \n,(:goal (and (opened mustard_bottle 3)))) \n
43,to open mustard_bottle 23 \n,(:goal (and (opened mustard_bottle 23)))) \n
44,to open mustard_bottle 31 \n,(:goal (and (opened mustard_bottle 31)))) \n
45,to open mustard_bottle 25 \n,(:goal (and (opened mustard_bottle 25)))) \n
46,to open mustard_bottle 1 \n,(:goal (and (opened mustard_bottle 1)))) \n
47,to open mustard_bottle 9 \n,(:goal (and (opened mustard_bottle 9)))) \n
48,to open mustard_bottle 12 \n,(:goal (and (opened mustard_bottle 12)))) \n
49,to open mustard_bottle 8 \n,(:goal (and (opened mustard_bottle 8)))) \n
50,to open pitcher_base 12 \n,(:goal (and (opened pitcher_base 12)))) \n
51,to open pitcher_base 26 \n,(:goal (and (opened pitcher_base 26)))) \n
52,to open pitcher_base 14 \n,(:goal (and (opened pitcher_base 14)))) \n
53,to open pitcher_base 3 \n,(:goal (and (opened pitcher_base 3)))) \n
54,to open pitcher_base 19 \n,(:goal (and (opened pitcher_base 19)))) \n
55,to open pitcher_base 32 \n,(:goal (and (opened pitcher_base 32)))) \n
56,to open pitcher_base 22 \n,(:goal (and (opened pitcher_base 22)))) \n
57,to open pitcher_base 30 \n,(:goal (and (opened pitcher_base 30)))) \n
58,to open pitcher_base 25 \n,(:goal (and (opened pitcher_base 25)))) \n
59,to open pitcher_base 13 \n,(:goal (and (opened pitcher_base 13)))) \n
60,to open potted_meat_can 16 \n,(:goal (and (opened potted_meat_can 16)))) \n
61,to open potted_meat_can 14 \n,(:goal (and (opened potted_meat_can 14)))) \n
62,to open potted_meat_can 15 \n,(:goal (and (opened potted_meat_can 15)))) \n
63,to open potted_meat_can 26 \n,(:goal (and (opened potted_meat_can 26)))) \n
64,to open potted_meat_can 9 \n,(:goal (and (opened potted_meat_can 9)))) \n
65,to open potted_meat_can 4 \n,(:goal (and (opened potted_meat_can 4)))) \n
66,to open potted_meat_can 28 \n,(:goal (and (opened potted_meat_can 28)))) \n
67,to open potted_meat_can 31 \n,(:goal (and (opened potted_meat_can 31)))) \n
68,to open potted_meat_can 30 \n,(:goal (and (opened potted_meat_can 30)))) \n
69,to open potted_meat_can 25 \n,(:goal (and (opened potted_meat_can 25)))) \n
70,to open sugar_box 9 \n,(:goal (and (opened sugar_box 9)))) \n
71,to open sugar_box 2 \n,(:goal (and (opened sugar_box 2)))) \n
72,to open sugar_box 25 \n,(:goal (and (opened sugar_box 25)))) \n
73,to open sugar_box 20 \n,(:goal (and (opened sugar_box 20)))) \n
74,to open sugar_box 28 \n,(:goal (and (opened sugar_box 28)))) \n
75,to open sugar_box 30 \n,(:goal (and (opened sugar_box 30)))) \n
76,to open sugar_box 17 \n,(:goal (and (opened sugar_box 17)))) \n
77,to open sugar_box 22 \n,(:goal (and (opened sugar_box 22)))) \n
78,to open sugar_box 1 \n,(:goal (and (opened sugar_box 1)))) \n
79,to open tomato_soup_can 19 \n,(:goal (and (opened tomato_soup_can 19)))) \n
80,to open tomato_soup_can 18 \n,(:goal (and (opened tomato_soup_can 18)))) \n
81,to open tomato_soup_can 3 \n,(:goal (and (opened tomato_soup_can 3)))) \n
82,to open tomato_soup_can 32 \n,(:goal (and (opened tomato_soup_can 32)))) \n
83,to open tomato_soup_can 22 \n,(:goal (and (opened tomato_soup_can 22)))) \n
84,to open tomato_soup_can 9 \n,(:goal (and (opened tomato_soup_can 9)))) \n
85,to open tomato_soup_can 24 \n,(:goal (and (opened tomato_soup_can 24)))) \n
86,to open tomato_soup_can 10 \n,(:goal (and (opened tomato_soup_can 10)))) \n
87,to open tomato_soup_can 16 \n,(:goal (and (opened tomato_soup_can 16)))) \n
88,to open tomato_soup_can 25 \n,(:goal (and (opened tomato_soup_can 25)))) \n
89,to open tuna_fish_can 21 \n,(:goal (and (opened tuna_fish_can 21)))) \n
90,to open tuna_fish_can 26 \n,(:goal (and (opened tuna_fish_can 26)))) \n
91,to open tuna_fish_can 32 \n,(:goal (and (opened tuna_fish_can 32)))) \n
92,to open tuna_fish_can 14 \n,(:goal (and (opened tuna_fish_can 14)))) \n
93,to open tuna_fish_can 10 \n,(:goal (and (opened tuna_fish_can 10)))) \n
94,to open tuna_fish_can 16 \n,(:goal (and (opened tuna_fish_can 16)))) \n
95,to open tuna_fish_can 28 \n,(:goal (and (opened tuna_fish_can 28)))) \n
96,to open tuna_fish_can 7 \n,(:goal (and (opened tuna_fish_can 7)))) \n
97,to open tuna_fish_can 12 \n,(:goal (and (opened tuna_fish_can 12)))) \n
98,to open tuna_fish_can 3 \n,(:goal (and (opened tuna_fish_can 3)))) \n
99,to open cracker_box 14 \n,(:goal (and (opened cracker_box 14)))) \n
100,to open cracker_box 22 \n,(:goal (and (opened cracker_box 22)))) \n
101,to open cracker_box 9 \n,(:goal (and (opened cracker_box 9)))) \n
102,to open cracker_box 24 \n,(:goal (and (opened cracker_box 24)))) \n
103,to open cracker_box 21 \n,(:goal (and (opened cracker_box 21)))) \n
104,to open cracker_box 2 \n,(:goal (and (opened cracker_box 2)))) \n
105,to open cracker_box 18 \n,(:goal (and (opened cracker_box 18)))) \n
106,to open cracker_box 5 \n,(:goal (and (opened cracker_box 5)))) \n
107,to open cracker_box 29 \n,(:goal (and (opened cracker_box 29)))) \n
108,to open cracker_box 30 \n,(:goal (and (opened cracker_box 30)))) \n
109,to open bleach_cleanser 1 \n,(:goal (and (opened bleach_cleanser 1)))) \n
110,to open bleach_cleanser 32 \n,(:goal (and (opened bleach_cleanser 32)))) \n
111,to open bleach_cleanser 21 \n,(:goal (and (opened bleach_cleanser 21)))) \n
112,to open bleach_cleanser 11 \n,(:goal (and (opened bleach_cleanser 11)))) \n
113,to open bleach_cleanser 25 \n,(:goal (and (opened bleach_cleanser 25)))) \n
114,to open gelatin_box 21 \n,(:goal (and (opened gelatin_box 21)))) \n
115,to open gelatin_box 17 \n,(:goal (and (opened gelatin_box 17)))) \n
116,to open gelatin_box 10 \n,(:goal (and (opened gelatin_box 10)))) \n
117,to open gelatin_box 12 \n,(:goal (and (opened gelatin_box 12)))) \n
118,to open gelatin_box 18 \n,(:goal (and (opened gelatin_box 18)))) \n
119,to open gelatin_box 16 \n,(:goal (and (opened gelatin_box 16)))) \n
120,to open gelatin_box 15 \n,(:goal (and (opened gelatin_box 15)))) \n
121,to open marker 26 \n,(:goal (and (opened marker 26)))) \n
122,to open marker 20 \n,(:goal (and (opened marker 20)))) \n
123,to open marker 12 \n,(:goal (and (opened marker 12)))) \n
124,to open marker 19 \n,(:goal (and (opened marker 19)))) \n
125,to open marker 18 \n,(:goal (and (opened marker 18)))) \n
126,to open marker 5 \n,(:goal (and (opened marker 5)))) \n
127,to open master_chef_can 19 \n,(:goal (and (opened master_chef_can 19)))) \n
128,to open master_chef_can 17 \n,(:goal (and (opened master_chef_can 17)))) \n
129,to open master_chef_can 12 \n,(:goal (and (opened master_chef_can 12)))) \n
130,to open master_chef_can 11 \n,(:goal (and (opened master_chef_can 11)))) \n
131,to open master_chef_can 26 \n,(:goal (and (opened master_chef_can 26)))) \n
132,to open master_chef_can 30 \n,(:goal (and (opened master_chef_can 30)))) \n
133,to open mustard_bottle 6 \n,(:goal (and (opened mustard_bottle 6)))) \n
134,to open mustard_bottle 11 \n,(:goal (and (opened mustard_bottle 11)))) \n
135,to open mustard_bottle 21 \n,(:goal (and (opened mustard_bottle 21)))) \n
136,to open mustard_bottle 15 \n,(:goal (and (opened mustard_bottle 15)))) \n
137,to open mustard_bottle 32 \n,(:goal (and (opened mustard_bottle 32)))) \n
138,to open mustard_bottle 24 \n,(:goal (and (opened mustard_bottle 24)))) \n
139,to open mustard_bottle 29 \n,(:goal (and (opened mustard_bottle 29)))) \n
140,to open pitcher_base 16 \n,(:goal (and (opened pitcher_base 16)))) \n
141,to open pitcher_base 6 \n,(:goal (and (opened pitcher_base 6)))) \n
142,to open pitcher_base 23 \n,(:goal (and (opened pitcher_base 23)))) \n
143,to open pitcher_base 7 \n,(:goal (and (opened pitcher_base 7)))) \n
144,to open pitcher_base 8 \n,(:goal (and (opened pitcher_base 8)))) \n
145,to open pitcher_base 21 \n,(:goal (and (opened pitcher_base 21)))) \n
146,to open pitcher_base 2 \n,(:goal (and (opened pitcher_base 2)))) \n
147,to open pitcher_base 15 \n,(:goal (and (opened pitcher_base 15)))) \n
148,to open potted_meat_can 13 \n,(:goal (and (opened potted_meat_can 13)))) \n
149,to open potted_meat_can 17 \n,(:goal (and (opened potted_meat_can 17)))) \n
150,to open potted_meat_can 24 \n,(:goal (and (opened potted_meat_can 24)))) \n
151,to open potted_meat_can 19 \n,(:goal (and (opened potted_meat_can 19)))) \n
152,to open potted_meat_can 1 \n,(:goal (and (opened potted_meat_can 1)))) \n
153,to open potted_meat_can 29 \n,(:goal (and (opened potted_meat_can 29)))) \n
154,to open potted_meat_can 6 \n,(:goal (and (opened potted_meat_can 6)))) \n
155,to open sugar_box 32 \n,(:goal (and (opened sugar_box 32)))) \n
156,to open sugar_box 10 \n,(:goal (and (opened sugar_box 10)))) \n
157,to open sugar_box 24 \n,(:goal (and (opened sugar_box 24)))) \n
158,to open sugar_box 4 \n,(:goal (and (opened sugar_box 4)))) \n
159,to open sugar_box 14 \n,(:goal (and (opened sugar_box 14)))) \n
160,to open sugar_box 26 \n,(:goal (and (opened sugar_box 26)))) \n
161,to open sugar_box 13 \n,(:goal (and (opened sugar_box 13)))) \n
162,to open tomato_soup_can 15 \n,(:goal (and (opened tomato_soup_can 15)))) \n
163,to open tomato_soup_can 1 \n,(:goal (and (opened tomato_soup_can 1)))) \n
164,to open tomato_soup_can 29 \n,(:goal (and (opened tomato_soup_can 29)))) \n
165,to open tomato_soup_can 26 \n,(:goal (and (opened tomato_soup_can 26)))) \n
166,to open tomato_soup_can 12 \n,(:goal (and (opened tomato_soup_can 12)))) \n
167,to open tomato_soup_can 13 \n,(:goal (and (opened tomato_soup_can 13)))) \n
168,to open tomato_soup_can 31 \n,(:goal (and (opened tomato_soup_can 31)))) \n
169,to open tuna_fish_can 1 \n,(:goal (and (opened tuna_fish_can 1)))) \n
170,to open tuna_fish_can 6 \n,(:goal (and (opened tuna_fish_can 6)))) \n
171,to open tuna_fish_can 13 \n,(:goal (and (opened tuna_fish_can 13)))) \n
172,to open tuna_fish_can 20 \n,(:goal (and (opened tuna_fish_can 20)))) \n
173,to open tuna_fish_can 18 \n,(:goal (and (opened tuna_fish_can 18)))) \n
174,to open tuna_fish_can 25 \n,(:goal (and (opened tuna_fish_can 25)))) \n
175,to open cracker_box 8 \n,(:goal (and (opened cracker_box 8)))) \n
176,to open cracker_box 3 \n,(:goal (and (opened cracker_box 3)))) \n
177,to open cracker_box 12 \n,(:goal (and (opened cracker_box 12)))) \n
178,to open cracker_box 1 \n,(:goal (and (opened cracker_box 1)))) \n
179,to open cracker_box 32 \n,(:goal (and (opened cracker_box 32)))) \n
180,to open bleach_cleanser 5 \n,(:goal (and (opened bleach_cleanser 5)))) \n
181,to open bleach_cleanser 29 \n,(:goal (and (opened bleach_cleanser 29)))) \n
182,to open bleach_cleanser 4 \n,(:goal (and (opened bleach_cleanser 4)))) \n
183,to open bleach_cleanser 26 \n,(:goal (and (opened bleach_cleanser 26)))) \n
184,to open bleach_cleanser 14 \n,(:goal (and (opened bleach_cleanser 14)))) \n
185,to open bleach_cleanser 18 \n,(:goal (and (opened bleach_cleanser 18)))) \n
186,to open gelatin_box 3 \n,(:goal (and (opened gelatin_box 3)))) \n
187,to open gelatin_box 5 \n,(:goal (and (opened gelatin_box 5)))) \n
188,to open gelatin_box 24 \n,(:goal (and (opened gelatin_box 24)))) \n
189,to open gelatin_box 29 \n,(:goal (and (opened gelatin_box 29)))) \n
190,to open marker 7 \n,(:goal (and (opened marker 7)))) \n
191,to open marker 2 \n,(:goal (and (opened marker 2)))) \n
192,to open marker 21 \n,(:goal (and (opened marker 21)))) \n
193,to open marker 23 \n,(:goal (and (opened marker 23)))) \n
194,to open master_chef_can 13 \n,(:goal (and (opened master_chef_can 13)))) \n
195,to open master_chef_can 2 \n,(:goal (and (opened master_chef_can 2)))) \n
196,to open master_chef_can 6 \n,(:goal (and (opened master_chef_can 6)))) \n
197,to open master_chef_can 31 \n,(:goal (and (opened master_chef_can 31)))) \n
198,to open master_chef_can 22 \n,(:goal (and (opened master_chef_can 22)))) \n
199,to open master_chef_can 28 \n,(:goal (and (opened master_chef_can 28)))) \n
200,to open mustard_bottle 28 \n,(:goal (and (opened mustard_bottle 28)))) \n
201,to open mustard_bottle 5 \n,(:goal (and (opened mustard_bottle 5)))) \n
202,to open mustard_bottle 7 \n,(:goal (and (opened mustard_bottle 7)))) \n
203,to open pitcher_base 17 \n,(:goal (and (opened pitcher_base 17)))) \n
204,to open pitcher_base 4 \n,(:goal (and (opened pitcher_base 4)))) \n
205,to open pitcher_base 5 \n,(:goal (and (opened pitcher_base 5)))) \n
206,to open pitcher_base 28 \n,(:goal (and (opened pitcher_base 28)))) \n
207,to open potted_meat_can 12 \n,(:goal (and (opened potted_meat_can 12)))) \n
208,to open potted_meat_can 5 \n,(:goal (and (opened potted_meat_can 5)))) \n
209,to open potted_meat_can 20 \n,(:goal (and (opened potted_meat_can 20)))) \n
210,to open potted_meat_can 21 \n,(:goal (and (opened potted_meat_can 21)))) \n
211,to open potted_meat_can 23 \n,(:goal (and (opened potted_meat_can 23)))) \n
212,to open potted_meat_can 7 \n,(:goal (and (opened potted_meat_can 7)))) \n
213,to open sugar_box 31 \n,(:goal (and (opened sugar_box 31)))) \n
214,to open sugar_box 5 \n,(:goal (and (opened sugar_box 5)))) \n
215,to open sugar_box 6 \n,(:goal (and (opened sugar_box 6)))) \n
216,to open sugar_box 23 \n,(:goal (and (opened sugar_box 23)))) \n
217,to open sugar_box 15 \n,(:goal (and (opened sugar_box 15)))) \n
218,to open tomato_soup_can 30 \n,(:goal (and (opened tomato_soup_can 30)))) \n
219,to open tomato_soup_can 20 \n,(:goal (and (opened tomato_soup_can 20)))) \n
220,to open tomato_soup_can 2 \n,(:goal (and (opened tomato_soup_can 2)))) \n
221,to open tuna_fish_can 15 \n,(:goal (and (opened tuna_fish_can 15)))) \n
222,to open tuna_fish_can 27 \n,(:goal (and (opened tuna_fish_can 27)))) \n
223,to open tuna_fish_can 2 \n,(:goal (and (opened tuna_fish_can 2)))) \n
224,to open tuna_fish_can 29 \n,(:goal (and (opened tuna_fish_can 29)))) \n
225,to open tuna_fish_can 23 \n,(:goal (and (opened tuna_fish_can 23)))) \n
226,to open tuna_fish_can 17 \n,(:goal (and (opened tuna_fish_can 17)))) \n
227,to open cracker_box 23 \n,(:goal (and (opened cracker_box 23)))) \n
228,to open cracker_box 19 \n,(:goal (and (opened cracker_box 19)))) \n
229,to open cracker_box 4 \n,(:goal (and (opened cracker_box 4)))) \n
230,to open cracker_box 10 \n,(:goal (and (opened cracker_box 10)))) \n
231,to open cracker_box 11 \n,(:goal (and (opened cracker_box 11)))) \n
232,to open cracker_box 25 \n,(:goal (and (opened cracker_box 25)))) \n
233,to open bleach_cleanser 13 \n,(:goal (and (opened bleach_cleanser 13)))) \n
234,to open bleach_cleanser 22 \n,(:goal (and (opened bleach_cleanser 22)))) \n
235,to open bleach_cleanser 30 \n,(:goal (and (opened bleach_cleanser 30)))) \n
236,to open bleach_cleanser 17 \n,(:goal (and (opened bleach_cleanser 17)))) \n
237,to open gelatin_box 19 \n,(:goal (and (opened gelatin_box 19)))) \n
238,to open gelatin_box 8 \n,(:goal (and (opened gelatin_box 8)))) \n
239,to open gelatin_box 6 \n,(:goal (and (opened gelatin_box 6)))) \n
240,to open marker 13 \n,(:goal (and (opened marker 13)))) \n
241,to open marker 27 \n,(:goal (and (opened marker 27)))) \n
242,to open marker 32 \n,(:goal (and (opened marker 32)))) \n
243,to open marker 8 \n,(:goal (and (opened marker 8)))) \n
244,to open marker 22 \n,(:goal (and (opened marker 22)))) \n
245,to open master_chef_can 18 \n,(:goal (and (opened master_chef_can 18)))) \n
246,to open master_chef_can 15 \n,(:goal (and (opened master_chef_can 15)))) \n
247,to open master_chef_can 4 \n,(:goal (and (opened master_chef_can 4)))) \n
248,to open master_chef_can 21 \n,(:goal (and (opened master_chef_can 21)))) \n
249,to open mustard_bottle 4 \n,(:goal (and (opened mustard_bottle 4)))) \n
250,to open mustard_bottle 22 \n,(:goal (and (opened mustard_bottle 22)))) \n
251,to open mustard_bottle 2 \n,(:goal (and (opened mustard_bottle 2)))) \n
252,to open mustard_bottle 16 \n,(:goal (and (opened mustard_bottle 16)))) \n
253,to open pitcher_base 27 \n,(:goal (and (opened pitcher_base 27)))) \n
254,to open potted_meat_can 2 \n,(:goal (and (opened potted_meat_can 2)))) \n
255,to open sugar_box 11 \n,(:goal (and (opened sugar_box 11)))) \n
256,to open sugar_box 21 \n,(:goal (and (opened sugar_box 21)))) \n
257,to open tomato_soup_can 5 \n,(:goal (and (opened tomato_soup_can 5)))) \n
258,to open tomato_soup_can 27 \n,(:goal (and (opened tomato_soup_can 27)))) \n
259,to open tuna_fish_can 19 \n,(:goal (and (opened tuna_fish_can 19)))) \n
260,to open tuna_fish_can 24 \n,(:goal (and (opened tuna_fish_can 24)))) \n
261,to open tuna_fish_can 30 \n,(:goal (and (opened tuna_fish_can 30)))) \n
262,to open cracker_box 7 \n,(:goal (and (opened cracker_box 7)))) \n
263,to open cracker_box 20 \n,(:goal (and (opened cracker_box 20)))) \n
264,to open cracker_box 26 \n,(:goal (and (opened cracker_box 26)))) \n
265,to open bleach_cleanser 19 \n,(:goal (and (opened bleach_cleanser 19)))) \n
266,to open gelatin_box 28 \n,(:goal (and (opened gelatin_box 28)))) \n
267,to open gelatin_box 23 \n,(:goal (and (opened gelatin_box 23)))) \n
268,to open marker 9 \n,(:goal (and (opened marker 9)))) \n
269,to open marker 6 \n,(:goal (and (opened marker 6)))) \n
270,to open marker 3 \n,(:goal (and (opened marker 3)))) \n
271,to open mustard_bottle 14 \n,(:goal (and (opened mustard_bottle 14)))) \n
272,to open mustard_bottle 27 \n,(:goal (and (opened mustard_bottle 27)))) \n
273,to open pitcher_base 29 \n,(:goal (and (opened pitcher_base 29)))) \n
274,to open pitcher_base 9 \n,(:goal (and (opened pitcher_base 9)))) \n
275,to open pitcher_base 20 \n,(:goal (and (opened pitcher_base 20)))) \n
276,to open potted_meat_can 11 \n,(:goal (and (opened potted_meat_can 11)))) \n
277,to open potted_meat_can 32 \n,(:goal (and (opened potted_meat_can 32)))) \n
278,to open potted_meat_can 18 \n,(:goal (and (opened potted_meat_can 18)))) \n
279,to open sugar_box 18 \n,(:goal (and (opened sugar_box 18)))) \n
280,to open sugar_box 19 \n,(:goal (and (opened sugar_box 19)))) \n
281,to open sugar_box 16 \n,(:goal (and (opened sugar_box 16)))) \n
282,to open sugar_box 27 \n,(:goal (and (opened sugar_box 27)))) \n
283,to open tomato_soup_can 8 \n,(:goal (and (opened tomato_soup_can 8)))) \n
284,to open tomato_soup_can 28 \n,(:goal (and (opened tomato_soup_can 28)))) \n
285,to open tomato_soup_can 7 \n,(:goal (and (opened tomato_soup_can 7)))) \n
286,to open tomato_soup_can 14 \n,(:goal (and (opened tomato_soup_can 14)))) \n
287,to open tomato_soup_can 4 \n,(:goal (and (opened tomato_soup_can 4)))) \n
288,to open tuna_fish_can 8 \n,(:goal (and (opened tuna_fish_can 8)))) \n
289,to open tuna_fish_can 22 \n,(:goal (and (opened tuna_fish_can 22)))) \n
290,to open tuna_fish_can 9 \n,(:goal (and (opened tuna_fish_can 9)))) \n
291,to open cracker_box 31 \n,(:goal (and (opened cracker_box 31)))) \n
292,to open cracker_box 15 \n,(:goal (and (opened cracker_box 15)))) \n
293,to open cracker_box 27 \n,(:goal (and (opened cracker_box 27)))) \n
294,to open bleach_cleanser 20 \n,(:goal (and (opened bleach_cleanser 20)))) \n
295,to open mustard_bottle 30 \n,(:goal (and (opened mustard_bottle 30)))) \n
296,to open pitcher_base 31 \n,(:goal (and (opened pitcher_base 31)))) \n
297,to open pitcher_base 24 \n,(:goal (and (opened pitcher_base 24)))) \n
298,to open potted_meat_can 3 \n,(:goal (and (opened potted_meat_can 3)))) \n
299,to open potted_meat_can 10 \n,(:goal (and (opened potted_meat_can 10)))) \n
300,to open sugar_box 7 \n,(:goal (and (opened sugar_box 7)))) \n
301,to open sugar_box 3 \n,(:goal (and (opened sugar_box 3)))) \n
302,to open tomato_soup_can 11 \n,(:goal (and (opened tomato_soup_can 11)))) \n
303,to open tomato_soup_can 21 \n,(:goal (and (opened tomato_soup_can 21)))) \n
304,to open tuna_fish_can 31 \n,(:goal (and (opened tuna_fish_can 31)))) \n
305,to open cracker_box 16 \n,(:goal (and (opened cracker_box 16)))) \n
306,to open bleach_cleanser 24 \n,(:goal (and (opened bleach_cleanser 24)))) \n
307,to open bleach_cleanser 16 \n,(:goal (and (opened bleach_cleanser 16)))) \n
308,to open gelatin_box 13 \n,(:goal (and (opened gelatin_box 13)))) \n
309,to open gelatin_box 4 \n,(:goal (and (opened gelatin_box 4)))) \n
310,to open gelatin_box 2 \n,(:goal (and (opened gelatin_box 2)))) \n
311,to open master_chef_can 24 \n,(:goal (and (opened master_chef_can 24)))) \n
312,to open mustard_bottle 13 \n,(:goal (and (opened mustard_bottle 13)))) \n
313,to open pitcher_base 1 \n,(:goal (and (opened pitcher_base 1)))) \n
314,to open sugar_box 29 \n,(:goal (and (opened sugar_box 29)))) \n
315,to open sugar_box 12 \n,(:goal (and (opened sugar_box 12)))) \n
316,to open tomato_soup_can 17 \n,(:goal (and (opened tomato_soup_can 17)))) \n
317,to open tuna_fish_can 5 \n,(:goal (and (opened tuna_fish_can 5)))) \n
318,to open tuna_fish_can 11 \n,(:goal (and (opened tuna_fish_can 11)))) \n
319,to open cracker_box 28 \n,(:goal (and (opened cracker_box 28)))) \n
320,to open bleach_cleanser 28 \n,(:goal (and (opened bleach_cleanser 28)))) \n
321,to open bleach_cleanser 8 \n,(:goal (and (opened bleach_cleanser 8)))) \n
322,to open marker 17 \n,(:goal (and (opened marker 17)))) \n
323,to open marker 14 \n,(:goal (and (opened marker 14)))) \n
324,to open master_chef_can 14 \n,(:goal (and (opened master_chef_can 14)))) \n
325,to open master_chef_can 7 \n,(:goal (and (opened master_chef_can 7)))) \n
326,to open mustard_bottle 20 \n,(:goal (and (opened mustard_bottle 20)))) \n
327,to open mustard_bottle 18 \n,(:goal (and (opened mustard_bottle 18)))) \n
328,to open pitcher_base 18 \n,(:goal (and (opened pitcher_base 18)))) \n
329,to open pitcher_base 11 \n,(:goal (and (opened pitcher_base 11)))) \n
330,to open potted_meat_can 22 \n,(:goal (and (opened potted_meat_can 22)))) \n
331,to open tomato_soup_can 6 \n,(:goal (and (opened tomato_soup_can 6)))) \n
332,to open cracker_box 13 \n,(:goal (and (opened cracker_box 13)))) \n
333,to open marker 25 \n,(:goal (and (opened marker 25)))) \n
334,to open master_chef_can 3 \n,(:goal (and (opened master_chef_can 3)))) \n
335,to open mustard_bottle 26 \n,(:goal (and (opened mustard_bottle 26)))) \n
336,to open sugar_box 8 \n,(:goal (and (opened sugar_box 8)))) \n
337,to open cracker_box 17 \n,(:goal (and (opened cracker_box 17)))) \n
338,to open gelatin_box 9 \n,(:goal (and (opened gelatin_box 9)))) \n
339,to open master_chef_can 5 \n,(:goal (and (opened master_chef_can 5)))) \n
340,to open mustard_bottle 10 \n,(:goal (and (opened mustard_bottle 10)))) \n
341,to open tomato_soup_can 23 \n,(:goal (and (opened tomato_soup_can 23)))) \n
342,to open gelatin_box 31 \n,(:goal (and (opened gelatin_box 31)))) \n
343,to open potted_meat_can 8 \n,(:goal (and (opened potted_meat_can 8)))) \n
344,to open potted_meat_can 27 \n,(:goal (and (opened potted_meat_can 27)))) \n
345,to open tuna_fish_can 4 \n,(:goal (and (opened tuna_fish_can 4)))) \n
346,to open pitcher_base 10 \n,(:goal (and (opened pitcher_base 10)))) \n
347,to open master_chef_can 27 \n,(:goal (and (opened master_chef_can 27)))) \n
