ID,Ours,PDDL
19,to pass bowl 8 to experimenter_hand 15 \n,(:goal (and (passed bowl 8 experimenter_hand 15)))) \n
20,to pass extra_large_clamp 9 to experimenter_hand 14 \n,(:goal (and (passed extra_large_clamp 9 experimenter_hand 14)))) \n
21,to pass extra_large_clamp 9 to experimenter_hand 12 \n,(:goal (and (passed extra_large_clamp 9 experimenter_hand 12)))) \n
22,to pass extra_large_clamp 23 to experimenter_hand 7 \n,(:goal (and (passed extra_large_clamp 23 experimenter_hand 7)))) \n
23,to pass extra_large_clamp 1 to experimenter_hand 23 \n,(:goal (and (passed extra_large_clamp 1 experimenter_hand 23)))) \n
24,to pass extra_large_clamp 24 to experimenter_hand 17 \n,(:goal (and (passed extra_large_clamp 24 experimenter_hand 17)))) \n
25,to pass extra_large_clamp 5 to experimenter_hand 16 \n,(:goal (and (passed extra_large_clamp 5 experimenter_hand 16)))) \n
26,to pass extra_large_clamp 21 to experimenter_hand 32 \n,(:goal (and (passed extra_large_clamp 21 experimenter_hand 32)))) \n
27,to pass extra_large_clamp 21 to experimenter_hand 17 \n,(:goal (and (passed extra_large_clamp 21 experimenter_hand 17)))) \n
28,to pass extra_large_clamp 5 to experimenter_hand 15 \n,(:goal (and (passed extra_large_clamp 5 experimenter_hand 15)))) \n
29,to pass extra_large_clamp 15 to experimenter_hand 29 \n,(:goal (and (passed extra_large_clamp 15 experimenter_hand 29)))) \n
30,to pass master_chef_can 21 to experimenter_hand 7 \n,(:goal (and (passed master_chef_can 21 experimenter_hand 7)))) \n
31,to pass master_chef_can 31 to experimenter_hand 6 \n,(:goal (and (passed master_chef_can 31 experimenter_hand 6)))) \n
32,to pass master_chef_can 10 to experimenter_hand 8 \n,(:goal (and (passed master_chef_can 10 experimenter_hand 8)))) \n
33,to pass master_chef_can 1 to experimenter_hand 31 \n,(:goal (and (passed master_chef_can 1 experimenter_hand 31)))) \n
34,to pass master_chef_can 32 to experimenter_hand 5 \n,(:goal (and (passed master_chef_can 32 experimenter_hand 5)))) \n
35,to pass master_chef_can 26 to experimenter_hand 29 \n,(:goal (and (passed master_chef_can 26 experimenter_hand 29)))) \n
36,to pass master_chef_can 28 to experimenter_hand 25 \n,(:goal (and (passed master_chef_can 28 experimenter_hand 25)))) \n
37,to pass master_chef_can 20 to experimenter_hand 14 \n,(:goal (and (passed master_chef_can 20 experimenter_hand 14)))) \n
38,to pass master_chef_can 22 to experimenter_hand 11 \n,(:goal (and (passed master_chef_can 22 experimenter_hand 11)))) \n
39,to pass master_chef_can 26 to experimenter_hand 17 \n,(:goal (and (passed master_chef_can 26 experimenter_hand 17)))) \n
40,to pass mustard_bottle 23 to experimenter_hand 13 \n,(:goal (and (passed mustard_bottle 23 experimenter_hand 13)))) \n
41,to pass mustard_bottle 25 to experimenter_hand 29 \n,(:goal (and (passed mustard_bottle 25 experimenter_hand 29)))) \n
42,to pass mustard_bottle 6 to experimenter_hand 13 \n,(:goal (and (passed mustard_bottle 6 experimenter_hand 13)))) \n
43,to pass mustard_bottle 16 to experimenter_hand 29 \n,(:goal (and (passed mustard_bottle 16 experimenter_hand 29)))) \n
44,to pass mustard_bottle 14 to experimenter_hand 25 \n,(:goal (and (passed mustard_bottle 14 experimenter_hand 25)))) \n
45,to pass mustard_bottle 15 to experimenter_hand 6 \n,(:goal (and (passed mustard_bottle 15 experimenter_hand 6)))) \n
46,to pass mustard_bottle 6 to experimenter_hand 30 \n,(:goal (and (passed mustard_bottle 6 experimenter_hand 30)))) \n
47,to pass mustard_bottle 27 to experimenter_hand 19 \n,(:goal (and (passed mustard_bottle 27 experimenter_hand 19)))) \n
48,to pass mustard_bottle 16 to experimenter_hand 9 \n,(:goal (and (passed mustard_bottle 16 experimenter_hand 9)))) \n
49,to pass mustard_bottle 2 to experimenter_hand 9 \n,(:goal (and (passed mustard_bottle 2 experimenter_hand 9)))) \n
50,to pass power_drill 6 to experimenter_hand 29 \n,(:goal (and (passed power_drill 6 experimenter_hand 29)))) \n
51,to pass power_drill 17 to experimenter_hand 4 \n,(:goal (and (passed power_drill 17 experimenter_hand 4)))) \n
52,to pass power_drill 30 to experimenter_hand 21 \n,(:goal (and (passed power_drill 30 experimenter_hand 21)))) \n
53,to pass power_drill 17 to experimenter_hand 18 \n,(:goal (and (passed power_drill 17 experimenter_hand 18)))) \n
54,to pass power_drill 3 to experimenter_hand 5 \n,(:goal (and (passed power_drill 3 experimenter_hand 5)))) \n
55,to pass power_drill 24 to experimenter_hand 16 \n,(:goal (and (passed power_drill 24 experimenter_hand 16)))) \n
56,to pass power_drill 20 to experimenter_hand 26 \n,(:goal (and (passed power_drill 20 experimenter_hand 26)))) \n
57,to pass power_drill 5 to experimenter_hand 30 \n,(:goal (and (passed power_drill 5 experimenter_hand 30)))) \n
58,to pass power_drill 27 to experimenter_hand 29 \n,(:goal (and (passed power_drill 27 experimenter_hand 29)))) \n
59,to pass power_drill 20 to experimenter_hand 4 \n,(:goal (and (passed power_drill 20 experimenter_hand 4)))) \n
60,to pass tomato_soup_can 8 to experimenter_hand 15 \n,(:goal (and (passed tomato_soup_can 8 experimenter_hand 15)))) \n
61,to pass tomato_soup_can 1 to experimenter_hand 11 \n,(:goal (and (passed tomato_soup_can 1 experimenter_hand 11)))) \n
62,to pass tomato_soup_can 20 to experimenter_hand 24 \n,(:goal (and (passed tomato_soup_can 20 experimenter_hand 24)))) \n
63,to pass tomato_soup_can 9 to experimenter_hand 23 \n,(:goal (and (passed tomato_soup_can 9 experimenter_hand 23)))) \n
64,to pass tomato_soup_can 26 to experimenter_hand 1 \n,(:goal (and (passed tomato_soup_can 26 experimenter_hand 1)))) \n
65,to pass tomato_soup_can 28 to experimenter_hand 30 \n,(:goal (and (passed tomato_soup_can 28 experimenter_hand 30)))) \n
66,to pass tomato_soup_can 20 to experimenter_hand 14 \n,(:goal (and (passed tomato_soup_can 20 experimenter_hand 14)))) \n
67,to pass tomato_soup_can 10 to experimenter_hand 25 \n,(:goal (and (passed tomato_soup_can 10 experimenter_hand 25)))) \n
68,to pass tomato_soup_can 25 to experimenter_hand 6 \n,(:goal (and (passed tomato_soup_can 25 experimenter_hand 6)))) \n
69,to pass tomato_soup_can 6 to experimenter_hand 1 \n,(:goal (and (passed tomato_soup_can 6 experimenter_hand 1)))) \n
70,to pass wood_block 22 to experimenter_hand 9 \n,(:goal (and (passed wood_block 22 experimenter_hand 9)))) \n
71,to pass wood_block 4 to experimenter_hand 18 \n,(:goal (and (passed wood_block 4 experimenter_hand 18)))) \n
72,to pass wood_block 9 to experimenter_hand 12 \n,(:goal (and (passed wood_block 9 experimenter_hand 12)))) \n
73,to pass wood_block 20 to experimenter_hand 31 \n,(:goal (and (passed wood_block 20 experimenter_hand 31)))) \n
74,to pass wood_block 20 to experimenter_hand 27 \n,(:goal (and (passed wood_block 20 experimenter_hand 27)))) \n
75,to pass wood_block 14 to experimenter_hand 15 \n,(:goal (and (passed wood_block 14 experimenter_hand 15)))) \n
76,to pass wood_block 23 to experimenter_hand 16 \n,(:goal (and (passed wood_block 23 experimenter_hand 16)))) \n
77,to pass wood_block 21 to experimenter_hand 7 \n,(:goal (and (passed wood_block 21 experimenter_hand 7)))) \n
78,to pass wood_block 29 to experimenter_hand 13 \n,(:goal (and (passed wood_block 29 experimenter_hand 13)))) \n
79,to pass banana 18 to experimenter_hand 26 \n,(:goal (and (passed banana 18 experimenter_hand 26)))) \n
80,to pass banana 27 to experimenter_hand 29 \n,(:goal (and (passed banana 27 experimenter_hand 29)))) \n
81,to pass banana 15 to experimenter_hand 13 \n,(:goal (and (passed banana 15 experimenter_hand 13)))) \n
82,to pass banana 17 to experimenter_hand 28 \n,(:goal (and (passed banana 17 experimenter_hand 28)))) \n
83,to pass banana 22 to experimenter_hand 3 \n,(:goal (and (passed banana 22 experimenter_hand 3)))) \n
84,to pass banana 2 to experimenter_hand 21 \n,(:goal (and (passed banana 2 experimenter_hand 21)))) \n
85,to pass banana 31 to experimenter_hand 3 \n,(:goal (and (passed banana 31 experimenter_hand 3)))) \n
86,to pass banana 3 to experimenter_hand 14 \n,(:goal (and (passed banana 3 experimenter_hand 14)))) \n
87,to pass banana 8 to experimenter_hand 19 \n,(:goal (and (passed banana 8 experimenter_hand 19)))) \n
88,to pass banana 11 to experimenter_hand 29 \n,(:goal (and (passed banana 11 experimenter_hand 29)))) \n
89,to pass bowl 13 to experimenter_hand 25 \n,(:goal (and (passed bowl 13 experimenter_hand 25)))) \n
90,to pass bowl 7 to experimenter_hand 21 \n,(:goal (and (passed bowl 7 experimenter_hand 21)))) \n
91,to pass bowl 32 to experimenter_hand 27 \n,(:goal (and (passed bowl 32 experimenter_hand 27)))) \n
92,to pass bowl 19 to experimenter_hand 11 \n,(:goal (and (passed bowl 19 experimenter_hand 11)))) \n
93,to pass bowl 18 to experimenter_hand 6 \n,(:goal (and (passed bowl 18 experimenter_hand 6)))) \n
94,to pass bowl 28 to experimenter_hand 5 \n,(:goal (and (passed bowl 28 experimenter_hand 5)))) \n
95,to pass bowl 27 to experimenter_hand 15 \n,(:goal (and (passed bowl 27 experimenter_hand 15)))) \n
96,to pass bowl 9 to experimenter_hand 13 \n,(:goal (and (passed bowl 9 experimenter_hand 13)))) \n
97,to pass bowl 2 to experimenter_hand 23 \n,(:goal (and (passed bowl 2 experimenter_hand 23)))) \n
98,to pass bowl 21 to experimenter_hand 24 \n,(:goal (and (passed bowl 21 experimenter_hand 24)))) \n
99,to pass extra_large_clamp 6 to experimenter_hand 14 \n,(:goal (and (passed extra_large_clamp 6 experimenter_hand 14)))) \n
100,to pass extra_large_clamp 25 to experimenter_hand 9 \n,(:goal (and (passed extra_large_clamp 25 experimenter_hand 9)))) \n
101,to pass extra_large_clamp 21 to experimenter_hand 25 \n,(:goal (and (passed extra_large_clamp 21 experimenter_hand 25)))) \n
102,to pass extra_large_clamp 10 to experimenter_hand 25 \n,(:goal (and (passed extra_large_clamp 10 experimenter_hand 25)))) \n
103,to pass extra_large_clamp 6 to experimenter_hand 30 \n,(:goal (and (passed extra_large_clamp 6 experimenter_hand 30)))) \n
104,to pass extra_large_clamp 12 to experimenter_hand 31 \n,(:goal (and (passed extra_large_clamp 12 experimenter_hand 31)))) \n
105,to pass extra_large_clamp 16 to experimenter_hand 1 \n,(:goal (and (passed extra_large_clamp 16 experimenter_hand 1)))) \n
106,to pass extra_large_clamp 8 to experimenter_hand 20 \n,(:goal (and (passed extra_large_clamp 8 experimenter_hand 20)))) \n
107,to pass extra_large_clamp 30 to experimenter_hand 17 \n,(:goal (and (passed extra_large_clamp 30 experimenter_hand 17)))) \n
108,to pass extra_large_clamp 13 to experimenter_hand 27 \n,(:goal (and (passed extra_large_clamp 13 experimenter_hand 27)))) \n
109,to pass master_chef_can 6 to experimenter_hand 11 \n,(:goal (and (passed master_chef_can 6 experimenter_hand 11)))) \n
110,to pass master_chef_can 32 to experimenter_hand 7 \n,(:goal (and (passed master_chef_can 32 experimenter_hand 7)))) \n
111,to pass master_chef_can 12 to experimenter_hand 24 \n,(:goal (and (passed master_chef_can 12 experimenter_hand 24)))) \n
112,to pass master_chef_can 1 to experimenter_hand 29 \n,(:goal (and (passed master_chef_can 1 experimenter_hand 29)))) \n
113,to pass master_chef_can 12 to experimenter_hand 11 \n,(:goal (and (passed master_chef_can 12 experimenter_hand 11)))) \n
114,to pass master_chef_can 4 to experimenter_hand 26 \n,(:goal (and (passed master_chef_can 4 experimenter_hand 26)))) \n
115,to pass master_chef_can 13 to experimenter_hand 10 \n,(:goal (and (passed master_chef_can 13 experimenter_hand 10)))) \n
116,to pass master_chef_can 2 to experimenter_hand 14 \n,(:goal (and (passed master_chef_can 2 experimenter_hand 14)))) \n
117,to pass master_chef_can 32 to experimenter_hand 20 \n,(:goal (and (passed master_chef_can 32 experimenter_hand 20)))) \n
118,to pass master_chef_can 2 to experimenter_hand 19 \n,(:goal (and (passed master_chef_can 2 experimenter_hand 19)))) \n
119,to pass mustard_bottle 1 to experimenter_hand 12 \n,(:goal (and (passed mustard_bottle 1 experimenter_hand 12)))) \n
120,to pass mustard_bottle 20 to experimenter_hand 25 \n,(:goal (and (passed mustard_bottle 20 experimenter_hand 25)))) \n
121,to pass mustard_bottle 24 to experimenter_hand 28 \n,(:goal (and (passed mustard_bottle 24 experimenter_hand 28)))) \n
122,to pass mustard_bottle 7 to experimenter_hand 26 \n,(:goal (and (passed mustard_bottle 7 experimenter_hand 26)))) \n
123,to pass mustard_bottle 26 to experimenter_hand 16 \n,(:goal (and (passed mustard_bottle 26 experimenter_hand 16)))) \n
124,to pass mustard_bottle 23 to experimenter_hand 18 \n,(:goal (and (passed mustard_bottle 23 experimenter_hand 18)))) \n
125,to pass mustard_bottle 29 to experimenter_hand 14 \n,(:goal (and (passed mustard_bottle 29 experimenter_hand 14)))) \n
126,to pass mustard_bottle 10 to experimenter_hand 26 \n,(:goal (and (passed mustard_bottle 10 experimenter_hand 26)))) \n
127,to pass mustard_bottle 4 to experimenter_hand 20 \n,(:goal (and (passed mustard_bottle 4 experimenter_hand 20)))) \n
128,to pass power_drill 9 to experimenter_hand 23 \n,(:goal (and (passed power_drill 9 experimenter_hand 23)))) \n
129,to pass power_drill 11 to experimenter_hand 20 \n,(:goal (and (passed power_drill 11 experimenter_hand 20)))) \n
130,to pass power_drill 31 to experimenter_hand 13 \n,(:goal (and (passed power_drill 31 experimenter_hand 13)))) \n
131,to pass power_drill 29 to experimenter_hand 10 \n,(:goal (and (passed power_drill 29 experimenter_hand 10)))) \n
132,to pass power_drill 16 to experimenter_hand 12 \n,(:goal (and (passed power_drill 16 experimenter_hand 12)))) \n
133,to pass power_drill 14 to experimenter_hand 29 \n,(:goal (and (passed power_drill 14 experimenter_hand 29)))) \n
134,to pass power_drill 19 to experimenter_hand 22 \n,(:goal (and (passed power_drill 19 experimenter_hand 22)))) \n
135,to pass power_drill 15 to experimenter_hand 11 \n,(:goal (and (passed power_drill 15 experimenter_hand 11)))) \n
136,to pass power_drill 13 to experimenter_hand 20 \n,(:goal (and (passed power_drill 13 experimenter_hand 20)))) \n
137,to pass power_drill 31 to experimenter_hand 9 \n,(:goal (and (passed power_drill 31 experimenter_hand 9)))) \n
138,to pass tomato_soup_can 10 to experimenter_hand 16 \n,(:goal (and (passed tomato_soup_can 10 experimenter_hand 16)))) \n
139,to pass tomato_soup_can 32 to experimenter_hand 16 \n,(:goal (and (passed tomato_soup_can 32 experimenter_hand 16)))) \n
140,to pass tomato_soup_can 2 to experimenter_hand 31 \n,(:goal (and (passed tomato_soup_can 2 experimenter_hand 31)))) \n
141,to pass tomato_soup_can 2 to experimenter_hand 27 \n,(:goal (and (passed tomato_soup_can 2 experimenter_hand 27)))) \n
142,to pass tomato_soup_can 18 to experimenter_hand 5 \n,(:goal (and (passed tomato_soup_can 18 experimenter_hand 5)))) \n
143,to pass tomato_soup_can 18 to experimenter_hand 28 \n,(:goal (and (passed tomato_soup_can 18 experimenter_hand 28)))) \n
144,to pass tomato_soup_can 8 to experimenter_hand 20 \n,(:goal (and (passed tomato_soup_can 8 experimenter_hand 20)))) \n
145,to pass tomato_soup_can 19 to experimenter_hand 22 \n,(:goal (and (passed tomato_soup_can 19 experimenter_hand 22)))) \n
146,to pass tomato_soup_can 30 to experimenter_hand 31 \n,(:goal (and (passed tomato_soup_can 30 experimenter_hand 31)))) \n
147,to pass tomato_soup_can 13 to experimenter_hand 10 \n,(:goal (and (passed tomato_soup_can 13 experimenter_hand 10)))) \n
148,to pass wood_block 16 to experimenter_hand 30 \n,(:goal (and (passed wood_block 16 experimenter_hand 30)))) \n
149,to pass wood_block 2 to experimenter_hand 5 \n,(:goal (and (passed wood_block 2 experimenter_hand 5)))) \n
150,to pass wood_block 31 to experimenter_hand 12 \n,(:goal (and (passed wood_block 31 experimenter_hand 12)))) \n
151,to pass wood_block 13 to experimenter_hand 21 \n,(:goal (and (passed wood_block 13 experimenter_hand 21)))) \n
152,to pass wood_block 8 to experimenter_hand 22 \n,(:goal (and (passed wood_block 8 experimenter_hand 22)))) \n
153,to pass wood_block 15 to experimenter_hand 32 \n,(:goal (and (passed wood_block 15 experimenter_hand 32)))) \n
154,to pass wood_block 26 to experimenter_hand 20 \n,(:goal (and (passed wood_block 26 experimenter_hand 20)))) \n
155,to pass wood_block 8 to experimenter_hand 11 \n,(:goal (and (passed wood_block 8 experimenter_hand 11)))) \n
156,to pass wood_block 19 to experimenter_hand 22 \n,(:goal (and (passed wood_block 19 experimenter_hand 22)))) \n
157,to pass wood_block 32 to experimenter_hand 8 \n,(:goal (and (passed wood_block 32 experimenter_hand 8)))) \n
158,to pass banana 28 to experimenter_hand 3 \n,(:goal (and (passed banana 28 experimenter_hand 3)))) \n
159,to pass banana 23 to experimenter_hand 17 \n,(:goal (and (passed banana 23 experimenter_hand 17)))) \n
160,to pass banana 20 to experimenter_hand 16 \n,(:goal (and (passed banana 20 experimenter_hand 16)))) \n
161,to pass banana 6 to experimenter_hand 22 \n,(:goal (and (passed banana 6 experimenter_hand 22)))) \n
162,to pass banana 6 to experimenter_hand 4 \n,(:goal (and (passed banana 6 experimenter_hand 4)))) \n
163,to pass banana 25 to experimenter_hand 28 \n,(:goal (and (passed banana 25 experimenter_hand 28)))) \n
164,to pass banana 3 to experimenter_hand 32 \n,(:goal (and (passed banana 3 experimenter_hand 32)))) \n
165,to pass banana 30 to experimenter_hand 12 \n,(:goal (and (passed banana 30 experimenter_hand 12)))) \n
166,to pass banana 26 to experimenter_hand 7 \n,(:goal (and (passed banana 26 experimenter_hand 7)))) \n
167,to pass banana 13 to experimenter_hand 8 \n,(:goal (and (passed banana 13 experimenter_hand 8)))) \n
168,to pass bowl 20 to experimenter_hand 19 \n,(:goal (and (passed bowl 20 experimenter_hand 19)))) \n
169,to pass bowl 10 to experimenter_hand 4 \n,(:goal (and (passed bowl 10 experimenter_hand 4)))) \n
170,to pass bowl 25 to experimenter_hand 18 \n,(:goal (and (passed bowl 25 experimenter_hand 18)))) \n
171,to pass bowl 8 to experimenter_hand 30 \n,(:goal (and (passed bowl 8 experimenter_hand 30)))) \n
172,to pass bowl 31 to experimenter_hand 20 \n,(:goal (and (passed bowl 31 experimenter_hand 20)))) \n
173,to pass bowl 29 to experimenter_hand 32 \n,(:goal (and (passed bowl 29 experimenter_hand 32)))) \n
174,to pass bowl 10 to experimenter_hand 22 \n,(:goal (and (passed bowl 10 experimenter_hand 22)))) \n
175,to pass bowl 16 to experimenter_hand 4 \n,(:goal (and (passed bowl 16 experimenter_hand 4)))) \n
176,to pass bowl 32 to experimenter_hand 28 \n,(:goal (and (passed bowl 32 experimenter_hand 28)))) \n
177,to pass bowl 23 to experimenter_hand 8 \n,(:goal (and (passed bowl 23 experimenter_hand 8)))) \n
178,to pass extra_large_clamp 27 to experimenter_hand 8 \n,(:goal (and (passed extra_large_clamp 27 experimenter_hand 8)))) \n
179,to pass extra_large_clamp 16 to experimenter_hand 6 \n,(:goal (and (passed extra_large_clamp 16 experimenter_hand 6)))) \n
180,to pass extra_large_clamp 1 to experimenter_hand 5 \n,(:goal (and (passed extra_large_clamp 1 experimenter_hand 5)))) \n
181,to pass extra_large_clamp 1 to experimenter_hand 17 \n,(:goal (and (passed extra_large_clamp 1 experimenter_hand 17)))) \n
182,to pass extra_large_clamp 30 to experimenter_hand 10 \n,(:goal (and (passed extra_large_clamp 30 experimenter_hand 10)))) \n
183,to pass extra_large_clamp 4 to experimenter_hand 32 \n,(:goal (and (passed extra_large_clamp 4 experimenter_hand 32)))) \n
184,to pass extra_large_clamp 6 to experimenter_hand 23 \n,(:goal (and (passed extra_large_clamp 6 experimenter_hand 23)))) \n
185,to pass extra_large_clamp 13 to experimenter_hand 24 \n,(:goal (and (passed extra_large_clamp 13 experimenter_hand 24)))) \n
186,to pass extra_large_clamp 18 to experimenter_hand 16 \n,(:goal (and (passed extra_large_clamp 18 experimenter_hand 16)))) \n
187,to pass extra_large_clamp 13 to experimenter_hand 19 \n,(:goal (and (passed extra_large_clamp 13 experimenter_hand 19)))) \n
188,to pass master_chef_can 14 to experimenter_hand 2 \n,(:goal (and (passed master_chef_can 14 experimenter_hand 2)))) \n
189,to pass master_chef_can 27 to experimenter_hand 26 \n,(:goal (and (passed master_chef_can 27 experimenter_hand 26)))) \n
190,to pass master_chef_can 30 to experimenter_hand 20 \n,(:goal (and (passed master_chef_can 30 experimenter_hand 20)))) \n
191,to pass master_chef_can 12 to experimenter_hand 17 \n,(:goal (and (passed master_chef_can 12 experimenter_hand 17)))) \n
192,to pass master_chef_can 31 to experimenter_hand 18 \n,(:goal (and (passed master_chef_can 31 experimenter_hand 18)))) \n
193,to pass master_chef_can 29 to experimenter_hand 26 \n,(:goal (and (passed master_chef_can 29 experimenter_hand 26)))) \n
194,to pass master_chef_can 27 to experimenter_hand 30 \n,(:goal (and (passed master_chef_can 27 experimenter_hand 30)))) \n
195,to pass master_chef_can 15 to experimenter_hand 3 \n,(:goal (and (passed master_chef_can 15 experimenter_hand 3)))) \n
196,to pass master_chef_can 27 to experimenter_hand 28 \n,(:goal (and (passed master_chef_can 27 experimenter_hand 28)))) \n
197,to pass master_chef_can 31 to experimenter_hand 16 \n,(:goal (and (passed master_chef_can 31 experimenter_hand 16)))) \n
198,to pass mustard_bottle 24 to experimenter_hand 17 \n,(:goal (and (passed mustard_bottle 24 experimenter_hand 17)))) \n
199,to pass mustard_bottle 28 to experimenter_hand 15 \n,(:goal (and (passed mustard_bottle 28 experimenter_hand 15)))) \n
200,to pass mustard_bottle 29 to experimenter_hand 2 \n,(:goal (and (passed mustard_bottle 29 experimenter_hand 2)))) \n
201,to pass mustard_bottle 9 to experimenter_hand 26 \n,(:goal (and (passed mustard_bottle 9 experimenter_hand 26)))) \n
202,to pass mustard_bottle 16 to experimenter_hand 1 \n,(:goal (and (passed mustard_bottle 16 experimenter_hand 1)))) \n
203,to pass mustard_bottle 22 to experimenter_hand 21 \n,(:goal (and (passed mustard_bottle 22 experimenter_hand 21)))) \n
204,to pass mustard_bottle 30 to experimenter_hand 16 \n,(:goal (and (passed mustard_bottle 30 experimenter_hand 16)))) \n
205,to pass mustard_bottle 28 to experimenter_hand 11 \n,(:goal (and (passed mustard_bottle 28 experimenter_hand 11)))) \n
206,to pass mustard_bottle 14 to experimenter_hand 5 \n,(:goal (and (passed mustard_bottle 14 experimenter_hand 5)))) \n
207,to pass mustard_bottle 30 to experimenter_hand 25 \n,(:goal (and (passed mustard_bottle 30 experimenter_hand 25)))) \n
208,to pass power_drill 22 to experimenter_hand 32 \n,(:goal (and (passed power_drill 22 experimenter_hand 32)))) \n
209,to pass power_drill 17 to experimenter_hand 6 \n,(:goal (and (passed power_drill 17 experimenter_hand 6)))) \n
210,to pass power_drill 24 to experimenter_hand 17 \n,(:goal (and (passed power_drill 24 experimenter_hand 17)))) \n
211,to pass power_drill 1 to experimenter_hand 16 \n,(:goal (and (passed power_drill 1 experimenter_hand 16)))) \n
212,to pass power_drill 7 to experimenter_hand 12 \n,(:goal (and (passed power_drill 7 experimenter_hand 12)))) \n
213,to pass power_drill 3 to experimenter_hand 4 \n,(:goal (and (passed power_drill 3 experimenter_hand 4)))) \n
214,to pass power_drill 29 to experimenter_hand 12 \n,(:goal (and (passed power_drill 29 experimenter_hand 12)))) \n
215,to pass power_drill 27 to experimenter_hand 16 \n,(:goal (and (passed power_drill 27 experimenter_hand 16)))) \n
216,to pass power_drill 6 to experimenter_hand 22 \n,(:goal (and (passed power_drill 6 experimenter_hand 22)))) \n
217,to pass power_drill 18 to experimenter_hand 31 \n,(:goal (and (passed power_drill 18 experimenter_hand 31)))) \n
218,to pass tomato_soup_can 18 to experimenter_hand 9 \n,(:goal (and (passed tomato_soup_can 18 experimenter_hand 9)))) \n
219,to pass tomato_soup_can 2 to experimenter_hand 22 \n,(:goal (and (passed tomato_soup_can 2 experimenter_hand 22)))) \n
220,to pass tomato_soup_can 20 to experimenter_hand 15 \n,(:goal (and (passed tomato_soup_can 20 experimenter_hand 15)))) \n
221,to pass tomato_soup_can 15 to experimenter_hand 19 \n,(:goal (and (passed tomato_soup_can 15 experimenter_hand 19)))) \n
222,to pass tomato_soup_can 22 to experimenter_hand 31 \n,(:goal (and (passed tomato_soup_can 22 experimenter_hand 31)))) \n
223,to pass tomato_soup_can 19 to experimenter_hand 9 \n,(:goal (and (passed tomato_soup_can 19 experimenter_hand 9)))) \n
224,to pass tomato_soup_can 23 to experimenter_hand 14 \n,(:goal (and (passed tomato_soup_can 23 experimenter_hand 14)))) \n
225,to pass tomato_soup_can 25 to experimenter_hand 9 \n,(:goal (and (passed tomato_soup_can 25 experimenter_hand 9)))) \n
226,to pass tomato_soup_can 10 to experimenter_hand 1 \n,(:goal (and (passed tomato_soup_can 10 experimenter_hand 1)))) \n
227,to pass tomato_soup_can 22 to experimenter_hand 1 \n,(:goal (and (passed tomato_soup_can 22 experimenter_hand 1)))) \n
228,to pass wood_block 24 to experimenter_hand 10 \n,(:goal (and (passed wood_block 24 experimenter_hand 10)))) \n
229,to pass wood_block 14 to experimenter_hand 24 \n,(:goal (and (passed wood_block 14 experimenter_hand 24)))) \n
230,to pass wood_block 23 to experimenter_hand 8 \n,(:goal (and (passed wood_block 23 experimenter_hand 8)))) \n
231,to pass wood_block 18 to experimenter_hand 8 \n,(:goal (and (passed wood_block 18 experimenter_hand 8)))) \n
232,to pass wood_block 21 to experimenter_hand 19 \n,(:goal (and (passed wood_block 21 experimenter_hand 19)))) \n
233,to pass wood_block 15 to experimenter_hand 21 \n,(:goal (and (passed wood_block 15 experimenter_hand 21)))) \n
