ID,Ours,PDDL
23,to pass banana 1 to experimenter_hand 28 \n,(:goal (and (passed banana 1 experimenter_hand 28)))) \n
24,to pass banana 1 to experimenter_hand 29 \n,(:goal (and (passed banana 1 experimenter_hand 29)))) \n
25,to pass banana 1 to experimenter_hand 30 \n,(:goal (and (passed banana 1 experimenter_hand 30)))) \n
26,to pass banana 1 to experimenter_hand 31 \n,(:goal (and (passed banana 1 experimenter_hand 31)))) \n
27,to pass banana 1 to experimenter_hand 32 \n,(:goal (and (passed banana 1 experimenter_hand 32)))) \n
28,to pass banana 2 to experimenter_hand 1 \n,(:goal (and (passed banana 2 experimenter_hand 1)))) \n
29,to pass banana 2 to experimenter_hand 3 \n,(:goal (and (passed banana 2 experimenter_hand 3)))) \n
30,to pass banana 2 to experimenter_hand 4 \n,(:goal (and (passed banana 2 experimenter_hand 4)))) \n
31,to pass banana 2 to experimenter_hand 5 \n,(:goal (and (passed banana 2 experimenter_hand 5)))) \n
32,to pass banana 2 to experimenter_hand 6 \n,(:goal (and (passed banana 2 experimenter_hand 6)))) \n
33,to pass banana 2 to experimenter_hand 7 \n,(:goal (and (passed banana 2 experimenter_hand 7)))) \n
34,to pass banana 2 to experimenter_hand 8 \n,(:goal (and (passed banana 2 experimenter_hand 8)))) \n
35,to pass banana 2 to experimenter_hand 9 \n,(:goal (and (passed banana 2 experimenter_hand 9)))) \n
36,to pass banana 2 to experimenter_hand 10 \n,(:goal (and (passed banana 2 experimenter_hand 10)))) \n
37,to pass banana 2 to experimenter_hand 11 \n,(:goal (and (passed banana 2 experimenter_hand 11)))) \n
38,to pass banana 2 to experimenter_hand 12 \n,(:goal (and (passed banana 2 experimenter_hand 12)))) \n
39,to pass banana 2 to experimenter_hand 13 \n,(:goal (and (passed banana 2 experimenter_hand 13)))) \n
40,to pass banana 2 to experimenter_hand 14 \n,(:goal (and (passed banana 2 experimenter_hand 14)))) \n
41,to pass banana 2 to experimenter_hand 15 \n,(:goal (and (passed banana 2 experimenter_hand 15)))) \n
42,to pass banana 2 to experimenter_hand 16 \n,(:goal (and (passed banana 2 experimenter_hand 16)))) \n
43,to pass banana 2 to experimenter_hand 17 \n,(:goal (and (passed banana 2 experimenter_hand 17)))) \n
44,to pass banana 2 to experimenter_hand 18 \n,(:goal (and (passed banana 2 experimenter_hand 18)))) \n
45,to pass banana 2 to experimenter_hand 19 \n,(:goal (and (passed banana 2 experimenter_hand 19)))) \n
46,to pass banana 2 to experimenter_hand 20 \n,(:goal (and (passed banana 2 experimenter_hand 20)))) \n
47,to pass banana 2 to experimenter_hand 22 \n,(:goal (and (passed banana 2 experimenter_hand 22)))) \n
48,to pass banana 2 to experimenter_hand 23 \n,(:goal (and (passed banana 2 experimenter_hand 23)))) \n
49,to pass banana 2 to experimenter_hand 25 \n,(:goal (and (passed banana 2 experimenter_hand 25)))) \n
50,to pass banana 2 to experimenter_hand 26 \n,(:goal (and (passed banana 2 experimenter_hand 26)))) \n
51,to pass banana 2 to experimenter_hand 27 \n,(:goal (and (passed banana 2 experimenter_hand 27)))) \n
52,to pass banana 2 to experimenter_hand 28 \n,(:goal (and (passed banana 2 experimenter_hand 28)))) \n
53,to pass banana 2 to experimenter_hand 30 \n,(:goal (and (passed banana 2 experimenter_hand 30)))) \n
54,to pass banana 2 to experimenter_hand 31 \n,(:goal (and (passed banana 2 experimenter_hand 31)))) \n
55,to pass banana 2 to experimenter_hand 32 \n,(:goal (and (passed banana 2 experimenter_hand 32)))) \n
56,to pass banana 3 to experimenter_hand 1 \n,(:goal (and (passed banana 3 experimenter_hand 1)))) \n
57,to pass banana 3 to experimenter_hand 2 \n,(:goal (and (passed banana 3 experimenter_hand 2)))) \n
58,to pass banana 3 to experimenter_hand 4 \n,(:goal (and (passed banana 3 experimenter_hand 4)))) \n
59,to pass banana 3 to experimenter_hand 5 \n,(:goal (and (passed banana 3 experimenter_hand 5)))) \n
60,to pass banana 3 to experimenter_hand 6 \n,(:goal (and (passed banana 3 experimenter_hand 6)))) \n
61,to pass banana 3 to experimenter_hand 7 \n,(:goal (and (passed banana 3 experimenter_hand 7)))) \n
62,to pass banana 3 to experimenter_hand 8 \n,(:goal (and (passed banana 3 experimenter_hand 8)))) \n
63,to pass banana 3 to experimenter_hand 9 \n,(:goal (and (passed banana 3 experimenter_hand 9)))) \n
64,to pass banana 3 to experimenter_hand 10 \n,(:goal (and (passed banana 3 experimenter_hand 10)))) \n
65,to pass banana 3 to experimenter_hand 11 \n,(:goal (and (passed banana 3 experimenter_hand 11)))) \n
66,to pass banana 3 to experimenter_hand 12 \n,(:goal (and (passed banana 3 experimenter_hand 12)))) \n
67,to pass banana 3 to experimenter_hand 13 \n,(:goal (and (passed banana 3 experimenter_hand 13)))) \n
68,to pass banana 3 to experimenter_hand 15 \n,(:goal (and (passed banana 3 experimenter_hand 15)))) \n
69,to pass banana 3 to experimenter_hand 17 \n,(:goal (and (passed banana 3 experimenter_hand 17)))) \n
70,to pass banana 3 to experimenter_hand 19 \n,(:goal (and (passed banana 3 experimenter_hand 19)))) \n
71,to pass banana 3 to experimenter_hand 20 \n,(:goal (and (passed banana 3 experimenter_hand 20)))) \n
72,to pass banana 3 to experimenter_hand 21 \n,(:goal (and (passed banana 3 experimenter_hand 21)))) \n
73,to pass banana 3 to experimenter_hand 24 \n,(:goal (and (passed banana 3 experimenter_hand 24)))) \n
74,to pass banana 3 to experimenter_hand 25 \n,(:goal (and (passed banana 3 experimenter_hand 25)))) \n
75,to pass banana 3 to experimenter_hand 26 \n,(:goal (and (passed banana 3 experimenter_hand 26)))) \n
76,to pass banana 3 to experimenter_hand 27 \n,(:goal (and (passed banana 3 experimenter_hand 27)))) \n
77,to pass banana 3 to experimenter_hand 28 \n,(:goal (and (passed banana 3 experimenter_hand 28)))) \n
78,to pass banana 3 to experimenter_hand 29 \n,(:goal (and (passed banana 3 experimenter_hand 29)))) \n
79,to pass banana 3 to experimenter_hand 30 \n,(:goal (and (passed banana 3 experimenter_hand 30)))) \n
80,to pass banana 3 to experimenter_hand 31 \n,(:goal (and (passed banana 3 experimenter_hand 31)))) \n
81,to pass banana 4 to experimenter_hand 1 \n,(:goal (and (passed banana 4 experimenter_hand 1)))) \n
82,to pass banana 4 to experimenter_hand 2 \n,(:goal (and (passed banana 4 experimenter_hand 2)))) \n
83,to pass banana 4 to experimenter_hand 3 \n,(:goal (and (passed banana 4 experimenter_hand 3)))) \n
84,to pass banana 4 to experimenter_hand 5 \n,(:goal (and (passed banana 4 experimenter_hand 5)))) \n
85,to pass banana 4 to experimenter_hand 7 \n,(:goal (and (passed banana 4 experimenter_hand 7)))) \n
86,to pass banana 4 to experimenter_hand 9 \n,(:goal (and (passed banana 4 experimenter_hand 9)))) \n
87,to pass banana 4 to experimenter_hand 10 \n,(:goal (and (passed banana 4 experimenter_hand 10)))) \n
88,to pass banana 4 to experimenter_hand 11 \n,(:goal (and (passed banana 4 experimenter_hand 11)))) \n
89,to pass banana 4 to experimenter_hand 12 \n,(:goal (and (passed banana 4 experimenter_hand 12)))) \n
90,to pass banana 4 to experimenter_hand 13 \n,(:goal (and (passed banana 4 experimenter_hand 13)))) \n
91,to pass banana 4 to experimenter_hand 14 \n,(:goal (and (passed banana 4 experimenter_hand 14)))) \n
92,to pass banana 4 to experimenter_hand 15 \n,(:goal (and (passed banana 4 experimenter_hand 15)))) \n
93,to pass banana 4 to experimenter_hand 16 \n,(:goal (and (passed banana 4 experimenter_hand 16)))) \n
94,to pass banana 4 to experimenter_hand 17 \n,(:goal (and (passed banana 4 experimenter_hand 17)))) \n
95,to pass banana 4 to experimenter_hand 18 \n,(:goal (and (passed banana 4 experimenter_hand 18)))) \n
96,to pass banana 4 to experimenter_hand 19 \n,(:goal (and (passed banana 4 experimenter_hand 19)))) \n
97,to pass banana 4 to experimenter_hand 20 \n,(:goal (and (passed banana 4 experimenter_hand 20)))) \n
98,to pass banana 4 to experimenter_hand 21 \n,(:goal (and (passed banana 4 experimenter_hand 21)))) \n
99,to pass banana 4 to experimenter_hand 22 \n,(:goal (and (passed banana 4 experimenter_hand 22)))) \n
100,to pass banana 4 to experimenter_hand 23 \n,(:goal (and (passed banana 4 experimenter_hand 23)))) \n
101,to pass banana 4 to experimenter_hand 26 \n,(:goal (and (passed banana 4 experimenter_hand 26)))) \n
102,to pass banana 4 to experimenter_hand 28 \n,(:goal (and (passed banana 4 experimenter_hand 28)))) \n
103,to pass banana 4 to experimenter_hand 29 \n,(:goal (and (passed banana 4 experimenter_hand 29)))) \n
104,to pass banana 4 to experimenter_hand 30 \n,(:goal (and (passed banana 4 experimenter_hand 30)))) \n
105,to pass banana 4 to experimenter_hand 31 \n,(:goal (and (passed banana 4 experimenter_hand 31)))) \n
106,to pass banana 4 to experimenter_hand 32 \n,(:goal (and (passed banana 4 experimenter_hand 32)))) \n
107,to pass banana 5 to experimenter_hand 1 \n,(:goal (and (passed banana 5 experimenter_hand 1)))) \n
108,to pass banana 5 to experimenter_hand 2 \n,(:goal (and (passed banana 5 experimenter_hand 2)))) \n
109,to pass banana 5 to experimenter_hand 3 \n,(:goal (and (passed banana 5 experimenter_hand 3)))) \n
110,to pass banana 5 to experimenter_hand 4 \n,(:goal (and (passed banana 5 experimenter_hand 4)))) \n
111,to pass banana 5 to experimenter_hand 6 \n,(:goal (and (passed banana 5 experimenter_hand 6)))) \n
112,to pass banana 5 to experimenter_hand 7 \n,(:goal (and (passed banana 5 experimenter_hand 7)))) \n
113,to pass banana 5 to experimenter_hand 8 \n,(:goal (and (passed banana 5 experimenter_hand 8)))) \n
114,to pass banana 5 to experimenter_hand 9 \n,(:goal (and (passed banana 5 experimenter_hand 9)))) \n
115,to pass banana 5 to experimenter_hand 10 \n,(:goal (and (passed banana 5 experimenter_hand 10)))) \n
116,to pass banana 5 to experimenter_hand 11 \n,(:goal (and (passed banana 5 experimenter_hand 11)))) \n
117,to pass banana 5 to experimenter_hand 12 \n,(:goal (and (passed banana 5 experimenter_hand 12)))) \n
118,to pass banana 5 to experimenter_hand 13 \n,(:goal (and (passed banana 5 experimenter_hand 13)))) \n
119,to pass banana 5 to experimenter_hand 14 \n,(:goal (and (passed banana 5 experimenter_hand 14)))) \n
120,to pass banana 5 to experimenter_hand 15 \n,(:goal (and (passed banana 5 experimenter_hand 15)))) \n
121,to pass banana 5 to experimenter_hand 16 \n,(:goal (and (passed banana 5 experimenter_hand 16)))) \n
122,to pass banana 5 to experimenter_hand 17 \n,(:goal (and (passed banana 5 experimenter_hand 17)))) \n
123,to pass banana 5 to experimenter_hand 18 \n,(:goal (and (passed banana 5 experimenter_hand 18)))) \n
124,to pass banana 5 to experimenter_hand 19 \n,(:goal (and (passed banana 5 experimenter_hand 19)))) \n
125,to pass banana 5 to experimenter_hand 20 \n,(:goal (and (passed banana 5 experimenter_hand 20)))) \n
126,to pass banana 5 to experimenter_hand 21 \n,(:goal (and (passed banana 5 experimenter_hand 21)))) \n
127,to pass banana 5 to experimenter_hand 22 \n,(:goal (and (passed banana 5 experimenter_hand 22)))) \n
128,to pass banana 5 to experimenter_hand 23 \n,(:goal (and (passed banana 5 experimenter_hand 23)))) \n
129,to pass banana 5 to experimenter_hand 24 \n,(:goal (and (passed banana 5 experimenter_hand 24)))) \n
130,to pass banana 5 to experimenter_hand 26 \n,(:goal (and (passed banana 5 experimenter_hand 26)))) \n
131,to pass banana 5 to experimenter_hand 27 \n,(:goal (and (passed banana 5 experimenter_hand 27)))) \n
132,to pass banana 5 to experimenter_hand 29 \n,(:goal (and (passed banana 5 experimenter_hand 29)))) \n
133,to pass banana 5 to experimenter_hand 30 \n,(:goal (and (passed banana 5 experimenter_hand 30)))) \n
134,to pass banana 5 to experimenter_hand 31 \n,(:goal (and (passed banana 5 experimenter_hand 31)))) \n
135,to pass banana 5 to experimenter_hand 32 \n,(:goal (and (passed banana 5 experimenter_hand 32)))) \n
136,to pass banana 6 to experimenter_hand 1 \n,(:goal (and (passed banana 6 experimenter_hand 1)))) \n
137,to pass banana 6 to experimenter_hand 2 \n,(:goal (and (passed banana 6 experimenter_hand 2)))) \n
138,to pass banana 6 to experimenter_hand 3 \n,(:goal (and (passed banana 6 experimenter_hand 3)))) \n
139,to pass banana 6 to experimenter_hand 5 \n,(:goal (and (passed banana 6 experimenter_hand 5)))) \n
140,to pass banana 6 to experimenter_hand 7 \n,(:goal (and (passed banana 6 experimenter_hand 7)))) \n
141,to pass banana 6 to experimenter_hand 8 \n,(:goal (and (passed banana 6 experimenter_hand 8)))) \n
142,to pass banana 6 to experimenter_hand 9 \n,(:goal (and (passed banana 6 experimenter_hand 9)))) \n
143,to pass banana 6 to experimenter_hand 10 \n,(:goal (and (passed banana 6 experimenter_hand 10)))) \n
144,to pass banana 6 to experimenter_hand 11 \n,(:goal (and (passed banana 6 experimenter_hand 11)))) \n
145,to pass banana 6 to experimenter_hand 12 \n,(:goal (and (passed banana 6 experimenter_hand 12)))) \n
146,to pass banana 6 to experimenter_hand 13 \n,(:goal (and (passed banana 6 experimenter_hand 13)))) \n
147,to pass banana 6 to experimenter_hand 14 \n,(:goal (and (passed banana 6 experimenter_hand 14)))) \n
148,to pass banana 6 to experimenter_hand 15 \n,(:goal (and (passed banana 6 experimenter_hand 15)))) \n
149,to pass banana 6 to experimenter_hand 16 \n,(:goal (and (passed banana 6 experimenter_hand 16)))) \n
150,to pass banana 6 to experimenter_hand 17 \n,(:goal (and (passed banana 6 experimenter_hand 17)))) \n
151,to pass banana 6 to experimenter_hand 18 \n,(:goal (and (passed banana 6 experimenter_hand 18)))) \n
152,to pass banana 6 to experimenter_hand 20 \n,(:goal (and (passed banana 6 experimenter_hand 20)))) \n
153,to pass banana 6 to experimenter_hand 21 \n,(:goal (and (passed banana 6 experimenter_hand 21)))) \n
154,to pass banana 6 to experimenter_hand 23 \n,(:goal (and (passed banana 6 experimenter_hand 23)))) \n
155,to pass banana 6 to experimenter_hand 24 \n,(:goal (and (passed banana 6 experimenter_hand 24)))) \n
156,to pass banana 6 to experimenter_hand 25 \n,(:goal (and (passed banana 6 experimenter_hand 25)))) \n
157,to pass banana 6 to experimenter_hand 26 \n,(:goal (and (passed banana 6 experimenter_hand 26)))) \n
158,to pass banana 6 to experimenter_hand 27 \n,(:goal (and (passed banana 6 experimenter_hand 27)))) \n
159,to pass banana 6 to experimenter_hand 28 \n,(:goal (and (passed banana 6 experimenter_hand 28)))) \n
160,to pass banana 6 to experimenter_hand 29 \n,(:goal (and (passed banana 6 experimenter_hand 29)))) \n
161,to pass banana 6 to experimenter_hand 30 \n,(:goal (and (passed banana 6 experimenter_hand 30)))) \n
162,to pass banana 6 to experimenter_hand 31 \n,(:goal (and (passed banana 6 experimenter_hand 31)))) \n
163,to pass banana 6 to experimenter_hand 32 \n,(:goal (and (passed banana 6 experimenter_hand 32)))) \n
164,to pass banana 7 to experimenter_hand 1 \n,(:goal (and (passed banana 7 experimenter_hand 1)))) \n
165,to pass banana 7 to experimenter_hand 2 \n,(:goal (and (passed banana 7 experimenter_hand 2)))) \n
166,to pass banana 7 to experimenter_hand 3 \n,(:goal (and (passed banana 7 experimenter_hand 3)))) \n
167,to pass banana 7 to experimenter_hand 4 \n,(:goal (and (passed banana 7 experimenter_hand 4)))) \n
168,to pass banana 7 to experimenter_hand 5 \n,(:goal (and (passed banana 7 experimenter_hand 5)))) \n
169,to pass banana 7 to experimenter_hand 8 \n,(:goal (and (passed banana 7 experimenter_hand 8)))) \n
170,to pass banana 7 to experimenter_hand 9 \n,(:goal (and (passed banana 7 experimenter_hand 9)))) \n
171,to pass banana 7 to experimenter_hand 11 \n,(:goal (and (passed banana 7 experimenter_hand 11)))) \n
172,to pass banana 7 to experimenter_hand 12 \n,(:goal (and (passed banana 7 experimenter_hand 12)))) \n
173,to pass banana 7 to experimenter_hand 13 \n,(:goal (and (passed banana 7 experimenter_hand 13)))) \n
174,to pass banana 7 to experimenter_hand 14 \n,(:goal (and (passed banana 7 experimenter_hand 14)))) \n
175,to pass banana 7 to experimenter_hand 17 \n,(:goal (and (passed banana 7 experimenter_hand 17)))) \n
176,to pass banana 7 to experimenter_hand 18 \n,(:goal (and (passed banana 7 experimenter_hand 18)))) \n
177,to pass banana 7 to experimenter_hand 19 \n,(:goal (and (passed banana 7 experimenter_hand 19)))) \n
178,to pass banana 7 to experimenter_hand 20 \n,(:goal (and (passed banana 7 experimenter_hand 20)))) \n
179,to pass banana 7 to experimenter_hand 21 \n,(:goal (and (passed banana 7 experimenter_hand 21)))) \n
180,to pass banana 7 to experimenter_hand 22 \n,(:goal (and (passed banana 7 experimenter_hand 22)))) \n
181,to pass banana 7 to experimenter_hand 23 \n,(:goal (and (passed banana 7 experimenter_hand 23)))) \n
182,to pass banana 7 to experimenter_hand 24 \n,(:goal (and (passed banana 7 experimenter_hand 24)))) \n
183,to pass banana 7 to experimenter_hand 25 \n,(:goal (and (passed banana 7 experimenter_hand 25)))) \n
184,to pass banana 7 to experimenter_hand 26 \n,(:goal (and (passed banana 7 experimenter_hand 26)))) \n
185,to pass banana 7 to experimenter_hand 27 \n,(:goal (and (passed banana 7 experimenter_hand 27)))) \n
186,to pass banana 7 to experimenter_hand 28 \n,(:goal (and (passed banana 7 experimenter_hand 28)))) \n
187,to pass banana 7 to experimenter_hand 29 \n,(:goal (and (passed banana 7 experimenter_hand 29)))) \n
188,to pass banana 7 to experimenter_hand 31 \n,(:goal (and (passed banana 7 experimenter_hand 31)))) \n
189,to pass banana 7 to experimenter_hand 32 \n,(:goal (and (passed banana 7 experimenter_hand 32)))) \n
190,to pass banana 8 to experimenter_hand 1 \n,(:goal (and (passed banana 8 experimenter_hand 1)))) \n
191,to pass banana 8 to experimenter_hand 2 \n,(:goal (and (passed banana 8 experimenter_hand 2)))) \n
192,to pass banana 8 to experimenter_hand 3 \n,(:goal (and (passed banana 8 experimenter_hand 3)))) \n
193,to pass banana 8 to experimenter_hand 4 \n,(:goal (and (passed banana 8 experimenter_hand 4)))) \n
194,to pass banana 8 to experimenter_hand 5 \n,(:goal (and (passed banana 8 experimenter_hand 5)))) \n
195,to pass banana 8 to experimenter_hand 6 \n,(:goal (and (passed banana 8 experimenter_hand 6)))) \n
196,to pass banana 8 to experimenter_hand 7 \n,(:goal (and (passed banana 8 experimenter_hand 7)))) \n
197,to pass banana 8 to experimenter_hand 9 \n,(:goal (and (passed banana 8 experimenter_hand 9)))) \n
198,to pass banana 8 to experimenter_hand 10 \n,(:goal (and (passed banana 8 experimenter_hand 10)))) \n
199,to pass banana 8 to experimenter_hand 12 \n,(:goal (and (passed banana 8 experimenter_hand 12)))) \n
200,to pass banana 8 to experimenter_hand 13 \n,(:goal (and (passed banana 8 experimenter_hand 13)))) \n
201,to pass banana 8 to experimenter_hand 14 \n,(:goal (and (passed banana 8 experimenter_hand 14)))) \n
202,to pass banana 8 to experimenter_hand 15 \n,(:goal (and (passed banana 8 experimenter_hand 15)))) \n
203,to pass banana 8 to experimenter_hand 17 \n,(:goal (and (passed banana 8 experimenter_hand 17)))) \n
204,to pass banana 8 to experimenter_hand 18 \n,(:goal (and (passed banana 8 experimenter_hand 18)))) \n
205,to pass banana 8 to experimenter_hand 20 \n,(:goal (and (passed banana 8 experimenter_hand 20)))) \n
206,to pass banana 8 to experimenter_hand 21 \n,(:goal (and (passed banana 8 experimenter_hand 21)))) \n
207,to pass banana 8 to experimenter_hand 22 \n,(:goal (and (passed banana 8 experimenter_hand 22)))) \n
208,to pass banana 8 to experimenter_hand 23 \n,(:goal (and (passed banana 8 experimenter_hand 23)))) \n
209,to pass banana 8 to experimenter_hand 24 \n,(:goal (and (passed banana 8 experimenter_hand 24)))) \n
210,to pass banana 8 to experimenter_hand 25 \n,(:goal (and (passed banana 8 experimenter_hand 25)))) \n
211,to pass banana 8 to experimenter_hand 26 \n,(:goal (and (passed banana 8 experimenter_hand 26)))) \n
212,to pass banana 8 to experimenter_hand 27 \n,(:goal (and (passed banana 8 experimenter_hand 27)))) \n
213,to pass banana 8 to experimenter_hand 28 \n,(:goal (and (passed banana 8 experimenter_hand 28)))) \n
214,to pass banana 8 to experimenter_hand 29 \n,(:goal (and (passed banana 8 experimenter_hand 29)))) \n
215,to pass banana 8 to experimenter_hand 30 \n,(:goal (and (passed banana 8 experimenter_hand 30)))) \n
216,to pass banana 8 to experimenter_hand 31 \n,(:goal (and (passed banana 8 experimenter_hand 31)))) \n
217,to pass banana 8 to experimenter_hand 32 \n,(:goal (and (passed banana 8 experimenter_hand 32)))) \n
218,to pass banana 9 to experimenter_hand 1 \n,(:goal (and (passed banana 9 experimenter_hand 1)))) \n
219,to pass banana 9 to experimenter_hand 2 \n,(:goal (and (passed banana 9 experimenter_hand 2)))) \n
220,to pass banana 9 to experimenter_hand 4 \n,(:goal (and (passed banana 9 experimenter_hand 4)))) \n
221,to pass banana 9 to experimenter_hand 5 \n,(:goal (and (passed banana 9 experimenter_hand 5)))) \n
222,to pass banana 9 to experimenter_hand 6 \n,(:goal (and (passed banana 9 experimenter_hand 6)))) \n
223,to pass banana 9 to experimenter_hand 7 \n,(:goal (and (passed banana 9 experimenter_hand 7)))) \n
224,to pass banana 9 to experimenter_hand 8 \n,(:goal (and (passed banana 9 experimenter_hand 8)))) \n
225,to pass banana 9 to experimenter_hand 10 \n,(:goal (and (passed banana 9 experimenter_hand 10)))) \n
226,to pass banana 9 to experimenter_hand 11 \n,(:goal (and (passed banana 9 experimenter_hand 11)))) \n
227,to pass banana 9 to experimenter_hand 12 \n,(:goal (and (passed banana 9 experimenter_hand 12)))) \n
228,to pass banana 9 to experimenter_hand 13 \n,(:goal (and (passed banana 9 experimenter_hand 13)))) \n
229,to pass banana 9 to experimenter_hand 14 \n,(:goal (and (passed banana 9 experimenter_hand 14)))) \n
230,to pass banana 9 to experimenter_hand 16 \n,(:goal (and (passed banana 9 experimenter_hand 16)))) \n
231,to pass banana 9 to experimenter_hand 17 \n,(:goal (and (passed banana 9 experimenter_hand 17)))) \n
232,to pass banana 9 to experimenter_hand 18 \n,(:goal (and (passed banana 9 experimenter_hand 18)))) \n
233,to pass banana 9 to experimenter_hand 19 \n,(:goal (and (passed banana 9 experimenter_hand 19)))) \n
234,to pass banana 9 to experimenter_hand 20 \n,(:goal (and (passed banana 9 experimenter_hand 20)))) \n
235,to pass banana 9 to experimenter_hand 21 \n,(:goal (and (passed banana 9 experimenter_hand 21)))) \n
236,to pass banana 9 to experimenter_hand 22 \n,(:goal (and (passed banana 9 experimenter_hand 22)))) \n
237,to pass banana 9 to experimenter_hand 24 \n,(:goal (and (passed banana 9 experimenter_hand 24)))) \n
238,to pass banana 9 to experimenter_hand 25 \n,(:goal (and (passed banana 9 experimenter_hand 25)))) \n
239,to pass banana 9 to experimenter_hand 26 \n,(:goal (and (passed banana 9 experimenter_hand 26)))) \n
240,to pass banana 9 to experimenter_hand 28 \n,(:goal (and (passed banana 9 experimenter_hand 28)))) \n
241,to pass banana 9 to experimenter_hand 29 \n,(:goal (and (passed banana 9 experimenter_hand 29)))) \n
242,to pass banana 9 to experimenter_hand 30 \n,(:goal (and (passed banana 9 experimenter_hand 30)))) \n
243,to pass banana 9 to experimenter_hand 32 \n,(:goal (and (passed banana 9 experimenter_hand 32)))) \n
244,to pass banana 10 to experimenter_hand 1 \n,(:goal (and (passed banana 10 experimenter_hand 1)))) \n
245,to pass banana 10 to experimenter_hand 2 \n,(:goal (and (passed banana 10 experimenter_hand 2)))) \n
246,to pass banana 10 to experimenter_hand 3 \n,(:goal (and (passed banana 10 experimenter_hand 3)))) \n
247,to pass banana 10 to experimenter_hand 5 \n,(:goal (and (passed banana 10 experimenter_hand 5)))) \n
248,to pass banana 10 to experimenter_hand 6 \n,(:goal (and (passed banana 10 experimenter_hand 6)))) \n
249,to pass banana 10 to experimenter_hand 7 \n,(:goal (and (passed banana 10 experimenter_hand 7)))) \n
250,to pass banana 10 to experimenter_hand 8 \n,(:goal (and (passed banana 10 experimenter_hand 8)))) \n
251,to pass banana 10 to experimenter_hand 9 \n,(:goal (and (passed banana 10 experimenter_hand 9)))) \n
252,to pass banana 10 to experimenter_hand 11 \n,(:goal (and (passed banana 10 experimenter_hand 11)))) \n
253,to pass banana 10 to experimenter_hand 12 \n,(:goal (and (passed banana 10 experimenter_hand 12)))) \n
254,to pass banana 10 to experimenter_hand 13 \n,(:goal (and (passed banana 10 experimenter_hand 13)))) \n
255,to pass banana 10 to experimenter_hand 14 \n,(:goal (and (passed banana 10 experimenter_hand 14)))) \n
256,to pass banana 10 to experimenter_hand 16 \n,(:goal (and (passed banana 10 experimenter_hand 16)))) \n
257,to pass banana 10 to experimenter_hand 18 \n,(:goal (and (passed banana 10 experimenter_hand 18)))) \n
258,to pass banana 10 to experimenter_hand 20 \n,(:goal (and (passed banana 10 experimenter_hand 20)))) \n
259,to pass banana 10 to experimenter_hand 21 \n,(:goal (and (passed banana 10 experimenter_hand 21)))) \n
260,to pass banana 10 to experimenter_hand 22 \n,(:goal (and (passed banana 10 experimenter_hand 22)))) \n
261,to pass banana 10 to experimenter_hand 23 \n,(:goal (and (passed banana 10 experimenter_hand 23)))) \n
262,to pass banana 10 to experimenter_hand 24 \n,(:goal (and (passed banana 10 experimenter_hand 24)))) \n
